,회사,양
277,LUKOIL Neftochim Burgas (LUKOIL),"208,000 bbl/d (33,100 m3/d)"
278,Dididom oil refinery (DIDIDOM),"60,000 bbl/d (9,500 m3/d)"
279,Rijeka Refinery (INA),"90,000 bbl/d (14,000 m3/d)"
280,Sisak Refinery (INA),"60,000 bbl/d (9,500 m3/d)"
281,Litvinov Refinery (Česká Rafinérská),"120,000 bbl/d (19,000 m3/d)"
282,Kralupy Refinery (Česká Rafinérská),"80,000 bbl/d (13,000 m3/d)"
283,Pardubice Refinery (PARAMO),"15,000 bbl/d (2,400 m3/d) - closed in 2009, converted to distribution terminal"
284,Kalundborg Refinery (Statoil),"110,000 bbl/d (17,000 m3/d)"
285,Fredericia Refinery (Royal Dutch Shell),"68,000 bbl/d (10,800 m3/d)"
286,Porvoo Refinery (Neste),"206,000 bbl/d (32,800 m3/d)"
287,Naantali Refinery (Neste Oil Oyj),"58,000 bbl/d (9,200 m3/d)"
288,La Mede Refinery (Total S.A.),"155,000 bbl/d (24,600 m3/d) - to be closed"
289,Normandy Refinery (Total S.A.),"350,000 bbl/d (56,000 m3/d)"
290,Flandres Refinery (Total S.A.),"160,000 bbl/d (25,000 m3/d) - closed"
291,Donges Refinery (Total S.A.),"231,000 bbl/d (36,700 m3/d)"
292,Feyzin Refinery (Total S.A.),"119,000 bbl/d (18,900 m3/d)"
293,Grandpuits Refinery (Total S.A.),"99,000 bbl/d (15,700 m3/d)"
294,Port Jérôme-Gravenchon Refinery (ExxonMobil),"270,000 bbl/d (43,000 m3/d)"
295,Fos-sur-Mer Refinery (ExxonMobil),"140,000 bbl/d (22,000 m3/d)"
296,Reichstett Refinery (Petroplus),"77,000 bbl/d (12,200 m3/d) - closed"
297,Petit Couronne Refinery (Petroplus),"142,000 bbl/d (22,600 m3/d) - closed"
298,Berre L'Etang Refinery (LyondellBasell),"100,000 bbl/d (16,000 m3/d) - mothballed in 2011[36]"
299,Fort de France Refinery (Total S.A.),"17,000 bbl/d (2,700 m3/d)"
300,Lavera Oil Refinery (Ineos)," 210,000 bbl/d (33,300m3/d)[37]"
301,Schwedt Refinery (PCK Raffinerie GmbH(Shell/Rosneft/Eni),"210,000 bbl/d (33,000 m3/d) Nelson Complexity Index 10.43[8]"
